Ref,Val,Package,PosX,PosY,Rot,Side
"R35","18k","R_1206_HandSoldering",120.904000,-127.508000,0.000000,top
"R36","1k","R_1206_HandSoldering",124.841000,-99.822000,0.000000,top
"R37","390k","R_1206_HandSoldering",108.077000,-87.122000,90.000000,top
"R38","10k","R_1206_HandSoldering",102.489000,-87.884000,270.000000,top
"R39","10k","R_1206_HandSoldering",102.489000,-80.772000,270.000000,top
"R40","1M","R_1206_HandSoldering",118.618000,-80.391000,0.000000,top
"R41","1k","R_1206_HandSoldering",120.840500,-85.788500,270.000000,top
"R42","1k","R_1206_HandSoldering",122.682000,-95.123000,270.000000,top
"R43","470k","R_1206_HandSoldering",104.521000,-96.266000,0.000000,top
"R44","24","R_1206_HandSoldering",86.868000,-113.538000,270.000000,top
"R45","24","R_1206_HandSoldering",89.662000,-113.538000,270.000000,top
"R46","24","R_1206_HandSoldering",93.218000,-113.538000,270.000000,top
"R47","24","R_1206_HandSoldering",96.012000,-113.538000,270.000000,top
"R48","330","R_1206_HandSoldering",123.698000,-150.876000,0.000000,top
"Rfb1","3.32k","R_1206_HandSoldering",98.806000,-137.922000,180.000000,top
"Rfb2","1.02k","R_1206_HandSoldering",98.806000,-140.716000,0.000000,top
"U1","ADAU1701","LQFP-48_7x7mm_Pitch0.5mm",105.410000,-131.318000,180.000000,top
"U2","24AA256SN","SOIC-8_3.9x4.9mm_Pitch1.27mm",92.265500,-132.651500,90.000000,top
"U3","LME49721","SOIC-8_3.9x4.9mm_Pitch1.27mm",110.490000,-112.649000,90.000000,top
"U4","LME49721","SOIC-8_3.9x4.9mm_Pitch1.27mm",110.490000,-72.009000,90.000000,top
"U6","LM393","SOIC-8_3.9x4.9mm_Pitch1.27mm",116.713000,-85.852000,270.000000,top
"U7","IDT2305NZ","SOIC-8_3.9x4.9mm_Pitch1.27mm",90.106500,-119.888000,0.000000,top
"X1","ASV-24.576MHz-EJ-T","Oscillator_SMD_Abracon_ASV-4pin_7.0x5.1mm_HandSoldering",81.534000,-125.476000,90.000000,top
